id,outter_name,image_url
78,奥迪A6(进口),https://p3.dcarimg.com/img/tos-cn-i-dcdx/ec9781db519a444196b5be30d32f7f31~1200x0.png
1101,小蚂蚁,https://p3.dcarimg.com/img/tos-cn-i-dcdx/b2b3cdf19a694723bf0bad852a5c1251~1200x0.png
1324,胜达,https://p3.dcarimg.com/img/tos-cn-i-dcdx/2712e32899d643ab999a894fc3620035~1200x0.png
1462,长安CS75,https://p3.dcarimg.com/img/tos-cn-i-dcdx/57f3c7a601f04f0f8cb914f215f72459~1200x0.png
3101,AION S,https://p3.dcarimg.com/img/tos-cn-i-dcdx/5a7c00a930d54a478c2ef93fca14be6f~1200x0.png
5407,华晨新日i03A,https://p3.dcarimg.com/img/motor-mis-img/7ee65d2baa8e5e82db505d41a591c98a~1200x0.png
5819,蔚来ES7,https://p3.dcarimg.com/img/tos-cn-i-dcdx/acebaf4b3c314c0a914ab90f72c13281~1200x0.png
6206,蓝山,https://p3.dcarimg.com/img/tos-cn-i-dcdx/aaf8ca6d737749609fdac6f33ac1c762~1200x0.png
6233,探索06,https://p3.dcarimg.com/img/tos-cn-i-dcdx/6b8ad12ba72b440f8722513a19b02e25~1200x0.png
6235,仰望U8,https://p3.dcarimg.com/img/tos-cn-i-dcdx/31c523a15a684da8aee692bd2dcb0197~1200x0.png
56,Giulia朱丽叶,https://p3.dcarimg.com/img/tos-cn-i-dcdx/41743c3fe3d443d58dca23f28a0e27e5~1200x0.png
4353,长安UNI-T,https://p3.dcarimg.com/img/tos-cn-i-dcdx/184d2490c25a4c93b8c897f9bf3e48e4~1200x0.png
10208,宝骏云海PHEV,https://p3.dcarimg.com/img/tos-cn-i-dcdx/2c2ac18d69c5498b83801d4d8925e8c7~1200x0.png
24693,腾势Z9 DM,https://p3.dcarimg.com/img/tos-cn-i-dcdx/3816908020334a71b0f7721c38d86ff7~1200x0.png
25139,海狮05EV,https://p3.dcarimg.com/img/tos-cn-i-dcdx/f8227312a7e14038ac604153914e4a50~1200x0.png
993,揽胜极光,https://p3.dcarimg.com/img/tos-cn-i-dcdx/c9f799e11259494eb40a88cb91b92499~1200x0.png
1406,森雅R7,https://p3.dcarimg.com/img/motor-mis-img/4ee23a7feaa58673dccfd90e2e40272e~1200x0.png
5439,长安欧尚Z6,https://p3.dcarimg.com/img/tos-cn-i-dcdx/182539861f3b40959e739c966ba6adce~1200x0.png
6179,东南DX8S,https://p3.dcarimg.com/img/tos-cn-i-dcdx/172a0dece6b5407aaface0aae8627e1e~1200x0.png
4894,ID.6 X,https://p3.dcarimg.com/img/tos-cn-i-dcdx/29bc3c3a1f4e463ea6be4ba9a7fd613e~1200x0.png
5385,凌宝Uni,https://p3.dcarimg.com/img/tos-cn-i-dcdx/175f3cc44ff94f00bc0e4d5260daabbb~1200x0.png
5409,蔚来ET5,https://p3.dcarimg.com/img/tos-cn-i-dcdx/9a14ca3112514db3a3372e396e0a40f3~1200x0.png
9945,电动MINI ACEMAN,https://p3.dcarimg.com/img/tos-cn-i-dcdx/20a7444390884916bc6dfaea69301f64~1200x0.png
2735,Supra,https://p3.dcarimg.com/img/motor-mis-img/673251e09c535943010e77f5df9ccc87~1200x0.png
5173,Cayenne Coupé E-Hybrid,https://p3.dcarimg.com/img/tos-cn-i-dcdx/beff159131a648aeb5ff21d1eafefc3a~1200x0.png
6160,悦也,https://p3.dcarimg.com/img/tos-cn-i-dcdx/71e5579ee9394a8282f30853f358d1b7~1200x0.png
353,别克GL8,https://p3.dcarimg.com/img/tos-cn-i-dcdx/ae1c7476860b462ebbcc47ab9cd358cd~1200x0.png
4076,比亚迪e3,https://p3.dcarimg.com/img/motor-mis-img/5b142a58b39f3729653247d9ddf1c63e~1200x0.png
5090,哪吒S,https://p3.dcarimg.com/img/tos-cn-i-dcdx/19b6d43c07db4fca85f270ab78916c84~1200x0.png
2513,TAHOE太浩,https://p3.dcarimg.com/img/tos-cn-i-dcdx/3ff3dd55edda4169a6929fbc095b9fcc~1200x0.png
4814,AION Y,https://p3.dcarimg.com/img/tos-cn-i-dcdx/39b9a8f8d50544d39ad3d8b50f02ee51~1200x0.png
4870,智己L7,https://p3.dcarimg.com/img/tos-cn-i-dcdx/c2a61dc360754e5d989847cb488af3df~1200x0.png
4921,哈弗赤兔,https://p3.dcarimg.com/img/tos-cn-i-dcdx/55d6e0be9d7549408cadf207f1baa47f~1200x0.png
5563,捷途旅行者,https://p3.dcarimg.com/img/tos-cn-i-dcdx/37518d375a3c4e5e93255f1b8cc0d691~1200x0.png
